"id","gid","male","female"
"306","ac8a45f8-5520-4463-9fda-f63f8844cb50","7107","6218"
"307","2944824d-4c26-476f-a981-be849081942f","9690","16120"
"308","650e7db6-b795-4eb5-a702-5ea2fc46c848","14671","30104"
"309","6b44cb91-8fdb-4e87-a1e4-cd0726efdc2b","8674","4640"
"310","21549870-7b2d-4c5b-ad59-f00ba9df7ca7","4897","3173"
"311","8970d868-0723-483b-a75b-51088913d3d4","16133","13296"
"312","9c9f1380-2516-4fc9-a3e6-f9f61941d090","19003","21431"
"313","516cef4d-0718-4007-9939-f9b38af3f784","12393","23164"
"314","6e0c7c0e-cba5-4c2c-a652-38f71ef5785d","12718","23797"
"315","b83b1cc7-38ea-4a6c-bd87-9853f0034fab","5728","5773"
"316","15f835dc-ee52-4b74-b889-113678f54119","6116","8234"
"317","9e53f84d-ef44-4c16-9677-5fd4d78cbd7d","15048","13211"
"318","42d79b6b-2cfe-43f4-b5d9-239503074153","19784","4929"
"319","5e372a49-5672-4fb8-ba14-18c90780c4f9","11641","9947"
"320","ad102038-c2a1-4c6b-856f-f671254de54f","1935","2267"
"321","cf15719f-51f9-4db8-a15d-5eed9664ce69","22895","12244"
"322","a66cc38c-e6cd-4725-a8fd-7d32b998347f","12999","17088"
"323","fc7376fe-1a6f-4414-b4a7-83f50ed59c92","13353","6854"
"324","11eabe0c-2638-4808-92f9-1dbd9c453429","12357","8501"
"325","31745282-b1ea-4d62-939f-226b14d68e7c","26819","7476"
"326","e7e5c5a9-d669-4668-be25-4278dda7d347","5648","4581"
"327","9940c604-2456-4193-a403-ab18420bc1e9","16394","9891"
"328","5d7fd997-3f4f-4682-ab8f-3b90993fbea9","1600","993"
"329","6b21d6fd-4cec-479e-a1d4-a71b0f7ed6d4","13648","7472"
"330","88d1360a-bc2d-47df-90d1-d2de285560aa","16440","28466"
"331","a0b2f210-cd3a-453d-937d-e4f2658d17c7","15300","16746"
"332","7445bc31-8998-4cc1-bba2-b86c15b7c872","4911","7388"
"333","c9b00c4c-44ff-47be-9fc8-5764b45cc7a3","9411","10218"
"334","e9c97fdb-9fa0-4955-9a6c-1c43e1ac3f64","11987","17433"
"335","ea99eec5-bd72-4b4f-86e4-54c5a34f7e10","3971","2583"
"336","ce55e49a-32f4-4757-9849-bf04d06d5fcc","16816","19503"
"337","6453d712-861c-4531-bbfa-e466eb714ad8","94","78"
"338","ebeebe21-487e-4ade-b655-21d3c4ec6601","2416","2315"
"339","0bd6ba12-1568-4b05-97e2-ec4aab47af0a","2819","481"
"340","cdec201b-7545-49fb-9763-f65057b7ecbf","1900","1254"
"341","2061f628-01cd-4343-a078-900f639d67fe","8863","6791"
"342","8bb436cd-8fbf-48c6-9fc8-a172c27e24ba","8707","12422"
"343","2c629b8c-d751-4131-b785-5690bb5e0fd7","12050","18674"
"344","8682866a-4f7a-43f5-83b2-06eabd0f2d4c","5235","6690"
"345","ba0d6274-db14-4ef5-b28d-657ebde1a396","19185","14654"
"346","40dc452a-6b63-4b7e-a106-062739155866","23587","4649"
"347","b91f0973-002e-4237-a39f-c7e02e786e53","12652","17799"
"348","78e46ae5-9bfd-433b-be3f-19e993d67ecc","14783","24080"
