"id","gid","name","gid_similar"
"1932","73571028-9318-4090-ab36-c111974e195b","A Sunny Day In Glasgow","73571028-9318-4090-ab36-c111974e195b"
"1933","46f4e349-ddec-4131-9367-91b630a821d0","The Pains of Being Pure At Heart","46f4e349-ddec-4131-9367-91b630a821d0"
"1934","697801d1-68b2-4413-a7e4-0ef507d21cc1","Lush","697801d1-68b2-4413-a7e4-0ef507d21cc1"
"1935","1a02453e-5f86-4220-abd6-1d889d2fa517","Atlas Sound","1a02453e-5f86-4220-abd6-1d889d2fa517"
"1936","53e4ba89-ba63-4d12-b7c4-3198a2b003b4","Lotus Plaza","53e4ba89-ba63-4d12-b7c4-3198a2b003b4"
"1937","8ca01f46-53ac-4af2-8516-55a909c0905e","My Bloody Valentine","8ca01f46-53ac-4af2-8516-55a909c0905e"
"1938","fd3c3f9f-a471-498e-ab3a-940ac20b6bbd","Panda Bear","fd3c3f9f-a471-498e-ab3a-940ac20b6bbd"
"1939","0c751690-c784-4a4f-b1e4-c1de27d47581","Animal Collective","0c751690-c784-4a4f-b1e4-c1de27d47581"
"1940",\N,"Zeigeist","896becf5-d8eb-4556-9177-15127969abde"
"1941","9aaa99df-9383-47df-92af-8bb5e5595815","iamamiwhoami","9aaa99df-9383-47df-92af-8bb5e5595815"
"1942","f066cb86-cff2-4752-8c1e-8fe00ee82c4a","Jonna Lee","f066cb86-cff2-4752-8c1e-8fe00ee82c4a"
"1943","2ec79a0d-8b5d-4db2-ad6b-e91b90499e87","Fan Death","2ec79a0d-8b5d-4db2-ad6b-e91b90499e87"
"1944","2c469955-d660-41b8-9a43-f539b1ca33bf","Chew Lips","2c469955-d660-41b8-9a43-f539b1ca33bf"
"1945",\N,"NEONBELLE","88a6b0b8-70e4-4841-b8c3-0fa4edf068a3"
"1946",\N,"Man Plus (remix)","0"
"1947",\N,"Shane Tutmarc and the Traveling Mercies","0"
"1948",\N,"See Me River","0"
"1949",\N,"Explone","0"
"1950",\N,"Okay","54cfcaa6-5fe0-4185-b64f-c887fe0b2619"
"1951","1dcd061a-adce-4dc8-915d-0942be7e0656","Rickolus","1dcd061a-adce-4dc8-915d-0942be7e0656"
"1952","fc5ff119-74ef-4b9c-b736-8b0e5fd3f298","Electric President","fc5ff119-74ef-4b9c-b736-8b0e5fd3f298"
"1953","9a086d54-365e-4f53-b75c-2911d5475084","The Kissaway Trail","9a086d54-365e-4f53-b75c-2911d5475084"
"1954","5e950ac2-08ba-4c20-aa69-4a7cf2efdde2","Alcoholic Faith Mission","5e950ac2-08ba-4c20-aa69-4a7cf2efdde2"
"1955","0654393d-253f-4a4d-a7e0-fbc799152930","Lucky Dragons","0654393d-253f-4a4d-a7e0-fbc799152930"
"1956","e8313333-994f-4c28-8687-5f3dd0b535c2","Tickley Feather","e8313333-994f-4c28-8687-5f3dd0b535c2"
"1957","e5479b91-5a7a-4c65-bd09-df6a308f8bc0","Peaking Lights","e5479b91-5a7a-4c65-bd09-df6a308f8bc0"
"1958","83f1cb07-1745-48e6-8576-428604e67aa8","Gang Gang Dance","83f1cb07-1745-48e6-8576-428604e67aa8"
"1959","0d58f45e-1a53-4dc3-bea6-16836f03aa1d","Nite Jewel","0d58f45e-1a53-4dc3-bea6-16836f03aa1d"
"1960","55821c25-bd47-4f67-baf8-17ccd2cf1c86","No Age","55821c25-bd47-4f67-baf8-17ccd2cf1c86"
"1961","ea78d0cf-1c99-443f-a4dc-4db90f3e1c47","Women","ea78d0cf-1c99-443f-a4dc-4db90f3e1c47"
"1962","f04f25c4-4b4e-4e5b-93c4-54c193d8f866","Mika Miko","f04f25c4-4b4e-4e5b-93c4-54c193d8f866"
"1963","b1c76fbc-2ce7-4437-bc7b-2f03b9a73157","Times New Viking","b1c76fbc-2ce7-4437-bc7b-2f03b9a73157"
"1964","c51f6376-5f67-473d-83d7-fbb492e46eb8","Male Bonding","c51f6376-5f67-473d-83d7-fbb492e46eb8"
"1965","93417644-8cfa-4139-aba0-1ced0a702bfb","FM Attack","93417644-8cfa-4139-aba0-1ced0a702bfb"
"1966","24f7a6d4-c9bf-4f1e-ba90-0f36cb51964c","Futurecop!","24f7a6d4-c9bf-4f1e-ba90-0f36cb51964c"
"1967","62135f6d-cd82-47e0-9cf8-4096531b2511","The Outrunners","62135f6d-cd82-47e0-9cf8-4096531b2511"
"1968",\N,"Minitel Rose","665e57b7-6ebc-477c-be8a-009ad8ce306e"
"1969","ae6657eb-a992-4b67-844c-69dff5fb1f44","Keenhouse","ae6657eb-a992-4b67-844c-69dff5fb1f44"
"1970","4427434d-7e10-40d2-82c0-b17b8566ec21","Twisted Wires","4427434d-7e10-40d2-82c0-b17b8566ec21"
"1971",\N,"Premier rang","0a564359-8f6a-44e9-aee3-b87aa15879c0"
"1972",\N,"T.A.K.E","df7ff640-0241-4423-90dc-bd27e615c329"
"1973","3b4778b1-1051-4e8d-bff7-2e67e8f6f9d6","Mike Simonetti","3b4778b1-1051-4e8d-bff7-2e67e8f6f9d6"
"1974",\N,"T & K","e80d857b-fe0a-401c-b35f-817030590325"
"1975","d193d0cb-58ae-4487-be22-6a19f07cb010","Ecstatic Sunshine","d193d0cb-58ae-4487-be22-6a19f07cb010"
"1976","1b9a6e96-2304-4adf-807f-bac10be8cd28","Dustin Wong","1b9a6e96-2304-4adf-807f-bac10be8cd28"
"1977","11eabe0c-2638-4808-92f9-1dbd9c453429","Deerhoof","11eabe0c-2638-4808-92f9-1dbd9c453429"
"1978","8eb5c47c-4847-4c4b-a041-879d8fc5fbf3","The Mae Shi","8eb5c47c-4847-4c4b-a041-879d8fc5fbf3"
"1979","1632e413-36d3-41db-9684-822deecffc3c","Marnie Stern","1632e413-36d3-41db-9684-822deecffc3c"
"1980","ec57ec4c-2787-4b77-b5c9-8b00a0e59f0a","Hunx and His Punx","ec57ec4c-2787-4b77-b5c9-8b00a0e59f0a"
"1981","edda8263-7286-4227-9dc4-9ed8e6177f84","Shannon and the Clams","edda8263-7286-4227-9dc4-9ed8e6177f84"
"1982","b978a42e-0b15-4987-9434-8805370f3f83","The King Khan & BBQ Show","b978a42e-0b15-4987-9434-8805370f3f83"
"1983",\N,"The Okmoniks","b1b363a7-4af4-46b4-8810-fddef3a43c5d"
"1984",\N,"Personal and the Pizzas","dd021aab-74b9-4621-839b-9d5680717ddb"
"1985",\N,"Nacho Vegas","bdf93e3a-4101-46f9-8110-a942900bbaac"
"1986",\N,"Bigott","5c2f3631-bca4-4975-af7b-37d07a2dcdc6"
"1987","d4b3138d-be55-4c4e-bf49-33ca8b40371e","Josh T. Pearson","d4b3138d-be55-4c4e-bf49-33ca8b40371e"
"1988",\N,"Los Planetas","6f28b158-4d1a-4f31-9339-7f381e3c4ee1"
"1989","b7a0fec6-a9d5-4d3c-90ab-5b3438a24eaf","Sr. Chinarro","b7a0fec6-a9d5-4d3c-90ab-5b3438a24eaf"
"1990","55821c25-bd47-4f67-baf8-17ccd2cf1c86","No Age","55821c25-bd47-4f67-baf8-17ccd2cf1c86"
"1991","ff3c5095-fcfe-4596-b777-eafaa9713b52","Psychedelic Horseshit","ff3c5095-fcfe-4596-b777-eafaa9713b52"
"1992","2dbe990b-9ddf-484d-8ac3-71edc122049e","Eat Skull","2dbe990b-9ddf-484d-8ac3-71edc122049e"
"1993","9b01a32f-a33d-462e-8ea1-aeac649ee0c7","Lovvers","9b01a32f-a33d-462e-8ea1-aeac649ee0c7"
"1994","c6f39f9e-b0fc-4614-94a9-ecf648bd8f33","Sic Alps","c6f39f9e-b0fc-4614-94a9-ecf648bd8f33"
"1995","98f7bd88-58a0-4d66-bb45-d284d50b2c32","La Sera","98f7bd88-58a0-4d66-bb45-d284d50b2c32"
"1996","f04f25c4-4b4e-4e5b-93c4-54c193d8f866","Mika Miko","f04f25c4-4b4e-4e5b-93c4-54c193d8f866"
"1997","fb8d3bc8-dc9e-479f-a689-bfe32ebbe8aa","The Babies","fb8d3bc8-dc9e-479f-a689-bfe32ebbe8aa"
"1998","da02702b-d06c-41ea-a711-f3f17a9af91d","Frankie Rose and The Outs","da02702b-d06c-41ea-a711-f3f17a9af91d"
"1999","e2c41213-6d3c-490a-be57-6388622896e2","Grass Widow","e2c41213-6d3c-490a-be57-6388622896e2"
